movie_id,title,budget,budget_log,revenue_usd,release_year,release_month,is_action,is_comedy,is_drama,is_horror,is_sciencefiction,is_animation,is_romance,is_thriller,num_genres,primary_genre,director_name,lead_actor,director_avg_past_rating,lead_actor_avg_rating,sidecast_avg_rating,genre_trend_score,imdb_rating
11624,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,2000000,14.508658238524095,18016290,1972,8,0,1,0,0,0,0,0,0,1,Comedy,Woody Allen,Woody Allen,6.7,6.7,6.35,-65921216.950240776,6.6
592,The Conversation,1600000,14.285514812209815,4420000,1974,4,0,0,1,0,0,0,0,0,3,Crime,Francis Ford Coppola,Gene Hackman,8.4,7.4,6.9,-64455519.35555555,7.5
240,The Godfather: Part II,13000000,16.380459992348886,47542841,1974,12,0,0,1,0,0,0,0,0,2,Drama,Francis Ford Coppola,Al Pacino,7.95,8.4,7.525,-28006838.813920453,8.3
103,Taxi Driver,1300000,14.077875591662238,28262574,1976,2,0,0,1,0,0,0,0,0,2,Crime,Martin Scorsese,Robert De Niro,7.2,7.75,7.45,-40612945.35555555,8.0
703,Annie Hall,4000000,15.201805169084134,38251425,1977,4,0,1,1,0,0,0,1,0,3,Comedy,Woody Allen,Woody Allen,6.766666666666667,6.766666666666667,7.65,-49280275.450240776,7.8
840,Close Encounters of the Third Kind,20000000,16.811242881518265,303788635,1977,11,0,0,1,0,1,0,0,0,2,Science Fiction,Steven Spielberg,Richard Dreyfuss,7.5,7.2,7.6,91104542.36842105,7.2
11644,Blow Out,18000000,16.705882371415992,12000000,1981,7,0,0,1,0,0,0,0,1,3,Drama,Brian De Palma,John Travolta,6.8,7.2,6.8,-48641388.61392045,7.3
10724,Firefox,18000000,16.705882371415992,70687344,1982,6,1,0,0,0,1,0,0,1,4,Science Fiction,Clint Eastwood,Clint Eastwood,7.4,6.875,7.333333333333333,86228412.70175436,5.5
1091,The Thing,15000000,16.52356082573315,19629760,1982,6,0,0,0,1,1,0,0,0,3,Horror,John Carpenter,Kurt Russell,6.900000000000001,6.9,5.4,-24896741.445360832,7.8
78,Blade Runner,28000000,17.147715103853763,33139618,1982,6,0,0,1,0,1,0,0,1,3,Science Fiction,Ridley Scott,Harrison Ford,7.9,7.58,6.45,86228412.70175436,7.9
87,Indiana Jones and the Temple of Doom,28000000,17.147715103853763,333000000,1984,5,1,0,0,0,0,0,0,0,2,Adventure,Steven Spielberg,Harrison Ford,6.916666666666667,7.671428571428571,8.1,-36786614.52707583,7.1
526,Ladyhawke,20000000,16.811242881518265,18432000,1985,3,0,0,1,0,0,0,1,0,4,Adventure,Richard Donner,Matthew Broderick,7.050000000000001,7.0,7.199999999999999,-139275383.32707584,6.8
6978,Big Trouble in Little China,25000000,17.034386422832473,11000000,1986,5,1,1,0,0,0,0,0,0,4,Action,John Carpenter,Kurt Russell,7.125000000000001,7.35,6.3,-10936931.03368795,7.1
11873,The Color of Money,13800000,16.440179222591198,52293982,1986,10,0,0,1,0,0,0,0,0,1,Drama,Martin Scorsese,Paul Newman,7.633333333333333,7.249999999999999,6.8,-9696190.147253789,6.7
96,Beverly Hills Cop II,20000000,16.811242881518265,299965036,1987,5,1,1,0,0,0,0,0,0,3,Action,Tony Scott,Eddie Murphy,6.7,6.5,6.909999999999999,-47563467.23368795,6.1
10673,Wall Street,15000000,16.52356082573315,43848069,1987,12,0,0,1,0,0,0,0,0,2,Crime,Oliver Stone,Charlie Sheen,7.5,6.6000000000000005,6.946666666666667,-8816257.85555555,7.0
